nomem_encr;nohouse_encr;wave;geslacht;positie;gebjaar;leeftijd;lftdcat;lftdhhh;aantalhh;aantalki;partner;burgstat;woonvorm;woning;sted;belbezig;brutoink;brutoink_f;nettoink;netinc;nettoink_f;brutocat;nettocat;brutohh_f;nettohh_f;oplzon;oplmet;oplcat;doetmee;werving;herkomstgroep;simpc
898884;591834;202201;1;5;2005;16;2;36;4;3;0;5;4;2;2;7;-13;0;0;0;0;13;0;2512,09624408387;1750;2;1;1;0;9; ;0
898889;567718;202201;2;2;1977;44;4;45;5;3;1;1;3;1;1;8;-13; ;-13;-13; ;13;13; ; ;2;2;2;0;2;0;0
898895;594665;202201;1;1;1947;74;7;74;1;0;0;3;1;1;3;9;-13;3281,61572778412;2500;2500;2500;13;5;3281,61572778412;2500;5;5;5;1;2;0;0
898898;572064;202201;2;3;1982;39;4;56;4;2;1;5;3;1;3;1;-13;2536,36320561483;1750;-13;1750;13;4;5936,36320561483;4150;4;4;4;0;7;0;0
898904;588507;202201;1;5;2002;19;2;47;5;3;1;5;3;1;5;1;-13; ;-14;-13; ;13;14; ; ;2;1;1;0;7; ;0
898910;524475;202201;2;5;1989;32;3;56;6;4;1;5;3;1;3;11;-13; ;-13;-13; ;13;13; ; ;2;2;2;0;6; ;0
898916;511679;202201;2;9;1947;74;7;74;2;0;0;4;5;2;2;9;0;0;0;0;0;0;0;2399,15237840235;1900;2;2;2;0;2;0;0
898925;522351;202201;1;1;1938;83;7;83;1;0;0;4;1;1;3;9;3250;3250;2900;2900;2900;7;6;3250;2900;6;6;6;1;7;201;0
898928;547189;202201;1;1;1952;69;7;69;2;0;1;4;2;1;1;9;-13; ;-14;-13; ;13;14; ; ;5;5;5;1;2;201;0
898935;524623;202201;2;2;1958;63;6;59;2;0;1;1;2;1;3;1;-13;1341,91695975884;1000;1000;1000;13;2;7553,22824083147;4800;2;2;2;1;9;0;0
898947;503652;202201;2;1;1982;39;4;39;3;1;1;1;3;1;4;8;-13;1710,28345322911;1250;-13;1250;13;3; ; ;5;5;5;1;8;102;0
898985;519542;202201;2;5;1991;30;3;59;3;1;1;5;3;1;5;1;2700;2700;1900;1900;1900;6;4;5955;4053;4;4;4;0;9; ;0
899005;506564;202201;2;5;2004;17;2;47;5;3;1;5;3;1;4;7;250;250;250;250;250;1;1;4864,63899693598;3610;3;1;1;1;2;0;0
899035;505974;202201;2;1;1993;28;3;28;1;0;0;5;1;2; ;1;2000;2000;1750;1750;1750;4;4;2000;1750;5;5;5;1;99;0;0
899044;539483;202201;2;5;1998;23;2;44;3;2;0;5;4;2;1;13;-13; ;-14;-13; ;13;14; ; ;4;2;2;1;8;202;0
899045;585962;202201;1;1;1956;65;7;65;2;0;1;1;2;2;1;12;810;810;750;750;750;2;2;1620;1500;1;1;1;1;9;102;0
899047;563354;202201;1;1;1953;68;7;68;2;0;1;1;2;1;2;9;4800;4800;3600;3600;3600;10;8;6600;4900;4;4;4;1;2;0;0
899049;520329;202201;1;5;2018;3;1;34;4;2;1;5;3;1;2;14;0;0;0;0;0;0;0;5300;4320;9;9; ;1;9; ;0
899053;551803;202201;2;2;1963;58;6;59;2;0;1;1;2;2;4;1;-13;972,659156364994;750;-13;750;13;2;2727,41233803046;2000;2;2;2;1;2;0;0
899060;556707;202201;2;5;2013;8;1;42;3;1;0;5;4;2;3;7;0;0;0;0;0;0;0;8383,41576934262;5350;9;9; ;1;3; ;0
