nomem_encr;nohouse_encr;wave;geslacht;gender;positie;gebjaar;leeftijd;lftdcat;lftdhhh;aantalhh;aantalki;partner;burgstat;woonvorm;woning;sted;belbezig;brutoink;brutoink_f;nettoink;netinc;nettoink_f;brutocat;nettocat;brutohh_f;nettohh_f;oplzon;oplmet;oplcat;doetmee;werving;herkomstgroep;simpc
805099;528924;202211;1;999;1;1964;57;6;57;2;0;1;1;2;1;4;1;-13; ;-14;-13; ;13;14; ; ;2;2;2;1;8;0;0
805102;541751;202211;1;999;5;2000;22;2;54;3;1;1;5;3;1;4;1;-13;2125,41591619464;1500;1500;1500;13;3;8449,06647711495;5700;4;2;2;0;2; ;0
805124;515582;202211;2;999;2;1961;61;6;57;3;1;1;1;3;1;2;10;-13;740,474493381911;600;600;600;13;2;3940,47449338191;2850;3;3;3;1;8;0;0
805131;587113;202211;2;999;5;1991;31;3;66;2;1;0;5;4;1;2;10;1701;1701;1369;1369;1369;4;3;4901;3869;7;7;1;0;9; ;0
805143;533792;202211;1;999;1;1979;42;4;42;1;0;0;5;1;1;3;1;3500;3500;2900;2900;2900;7;6;3500;2900;5;5;5;1;9;0;0
805147;509681;202211;1;999;1;1996;26;3;26;2;0;1;5;2;2;4;7;1200;1200;1100;1100;1100;3;3;5050;3700;6;6;6;0;99;102;0
805149;515791;202211;2;999;5;2013;9;1;42;6;4;1;5;3;1;4;7;0;0;0;0;0;0;0;7067;4400;1;8;1;1;10; ;0
805161;564165;202211;1;1;2;1969;53;5;54;3;1;1;1;3;1;3;1;10500;10500;6200;6200;6200;12;11;18300;10600;6;6;6;1;10;0;0
805181;532852;202211;2;999;1;1968;54;5;54;2;1;0;3;4;1;5;1;-13;2153,23281244342;1496;1496;1496;13;3;2153,23281244342;1496;4;4;4;1;2;0;0
805228;570211;202211;1;999;5;2020;2;1;41;3;1;1;5;3;1;4;14;0;0;0;0;0;0;0;5732;3784;9;9; ;1;2; ;0
805252;591931;202211;2;999;2;1968;54;5;55;4;2;1;1;3;1;5;8;-13;767,745079620317;620;620;620;13;2;6953,46824995711;4655;4;4;4;1;2;0;0
805253;522911;202211;1;999;1;1971;51;5;51;4;3;0;3;4;1;3;3;-13; ;-13;-13; ;13;13; ; ;6;6;6;0;9; ;0
805258;571832;202211;2;999;2;1942;80;7;84;2;0;1;1;2;1;2;8;-13;1099,13749770341;960;960;960;13;2;2596,53068348876;2210;2;2;2;1;3;0;0
805272;577760;202211;1;1;1;1960;62;6;62;2;0;1;1;2;2;2;1;-13;6234,00750324384;3730;3730;3730;13;8;8129,94954479821;5118;4;4;4;1;10;0;0
805273;514520;202211;2;999;2;1965;57;6;64;5;3;1;1;3;1;5;3;-13;606,115961323088;500;500;500;13;1;1569,46908364769;1250;3;3;3;1;1;0;0
805288;529931;202211;1;999;1;1950;72;7;72;2;0;1;3;2;1;5;9;1500;1500;1200;1200;1200;3;3;2850;2257;2;2;2;1;2;0;1
805295;588615;202211;2;2;2;1988;34;3;29;3;1;1;1;3;1;4;1;2498;2498;2042;2042;2042;5;5;5712;4742;6;6;6;1;10;0;0
805300;541534;202211;2;999;1;1952;70;7;70;1;0;0;3;1;2;1;9;-13;2115,16124915538;1700;1700;1700;13;4;2115,16124915538;1700;2;2;2;1;8;0;0
805303;511236;202211;1;999;1;1946;76;7;76;2;0;1;1;2;2;3;9;2200;2200;1945;1945;1945;5;4;3015;2760;5;5;5;1;2;0;0
805319;502359;202211;1;999;1;1964;58;6;58;3;1;1;1;3;2;2;1;4200;4200;2450;2450;2450;9;5;4486,99204008017;2700;5;4;4;1;2;0;0
805320;586414;202211;1;999;5;2013;9;1;41;4;2;1;5;3;1;3;7;-13;0;0;0;0;13;0;16571,1124445167;9350;1;8;1;1;9; ;0
805323;574580;202211;2;2;3;1996;25;3;28;2;0;1;5;2;2;1;1;2200;2200;1900;1900;1900;5;4;6800;4700;4;4;4;1;99;0;0
805352;539483;202211;2;999;1;1977;45;5;45;3;2;0;3;4;2;1;8;-13; ;-14;-13; ;13;14; ; ;2;1;1;0;8; ;0
805364;505212;202211;2;999;1;1976;46;5;46;2;0;1;1;2;2;5;8;-13;892,289333367534;700;700;700;13;2;1770,36699134649;1400;4;4;4;1;2;0;0
805365;582536;202211;1;1;1;1963;59;6;59;2;0;1;1;2;1;3;3;5000;5000;3100;3100;3100;10;7;8220,17045359545;5300;5;5;5;1;10;0;0
805392;567858;202211;2;999;5;1995;27;3;54;5;3;1;5;3;2;2;8;0;0;0;0;0;0;0;2100;1800;4;4;4;1;7;202;0
805433;577507;202211;2;999;5;1999;23;2;58;4;2;1;5;3;2;3;1;-13;2536,36320561483;1750;-13;1750;13;4;11352,6021263921;7500;5;5;5;0;10; ;0
805435;587631;202211;1;999;5;1998;24;2;52;2;1;0;5;4;2;1;7;0;0;0;0;0;0;0;2200;1700;5;8;3;1;7;202;0
805444;549490;202211;2;999;1;1966;56;6;56;1;0;0;5;1;1;2;1;-13;3904,73502365882;2505;2505;2505;13;6;3904,73502365882;2505;4;4;4;1;8;0;0
805456;537741;202211;1;999;5;2009;13;1;53;3;2;0;5;4;1;4;7;0;0;0;0;0;0;0;5255;3390;3;1;1;1;10; ;0
805468;598822;202211;1;999;1;1970;52;5;52;4;2;1;1;3;1;5;1;-13;4078,09402447603;2600;2600;2600;13;6;5966,08150728252;4330;5;5;5;0;2;0;0
805483;599629;202211;2;999;3;1957;65;7;71;2;0;1;3;2;2;3;10;-13;961,199160637129;850;850;850;13;2;3217,67633006662;2650;2;2;2;0;10; ;0
805484;531311;202211;1;999;1;1958;64;6;64;4;1;1;1;3;1;5;1;-13;5202,22977132908;3200;3200;3200;13;7;8244,4077067589;5650;2;2;2;1;3;0;0
805493;548367;202211;2;999;5;2006;16;2;52;4;2;1;5;3;1;2;7;98;98;250;-13;250;1;1;9230;5960;4;2;2;0;2; ;0
805496;563555;202211;1;999;5;1998;24;2;60;3;1;1;5;3;1;4;7;0;0;0;0;0;0;0;5600;3750;6;3;3;1;8;0;0
805502;557427;202211;2;999;2;1970;52;5;55;3;1;1;1;3;1;3;1;2850;2850;2200;2200;2200;6;5;8070;6380;5;5;5;1;6;0;0
805508;586444;202211;2;999;1;1948;74;7;74;2;1;0;3;4;2;3;9;-13; ;-14;-13; ;13;14; ; ;6;6;6;1;8;102;1
805520;568847;202211;1;999;1;1944;78;7;78;1;0;0;3;1;1;5;9;3050;3050;2150;2150;2150;7;5;3050;2150;4;4;4;1;7;0;1
805543;536985;202211;2;2;1;1964;58;6;58;4;2;1;3;3;1;1;1;-13;3446,11391341185;2250;-13;2250;13;5;7622,64110148442;5000;3;3;3;1;10;0;0
805546;536985;202211;1;999;3;1962;60;6;58;4;2;1;3;3;1;1;3;-13;4176,52718807257;2750;-13;2750;13;6;7622,64110148442;5000;5;5;5;0;10; ;0
805560;560256;202211;1;999;1;1943;79;7;79;3;0;1;1;2;1;5;9;7000;7000;5000;5000;5000;11;10;8200;5850;6;6;6;1;3;101;0
805563;528826;202211;1;999;1;1944;78;7;78;3;2;0;2;4;2;1;8;-13;2908,64475545139;2250;-13;2250;13;5;3482,62883561172;2750;5;5;5;0;7;102;0
805569;590878;202211;2;999;3;1971;51;5;58;2;0;1;3;2;1;4;1;-13;1964,42225133551;1400;1400;1400;13;3;5761,34475114846;3900;4;4;4;1;2;0;0
805572;569509;202211;1;999;1;1955;67;7;67;1;0;0;5;1;2;1;9;-13;3661,61300002716;2750;-13;2750;13;6;3661,61300002716;2750;5;5;5;1;2;0;0
805575;502478;202211;1;999;5;1989;32;3;72;5;3;0;1;4;1;2;1;-13; ;-13;-13; ;13;13; ; ;4;2;2;0;2;0;0
805584;570675;202211;2;999;1;1946;76;7;76;1;0;0;4;1;2;1;9;2115;2115;1960;1960;1960;5;4;2115;1960;4;4;4;1;7;0;0
805590;519064;202211;2;999;5;2009;13;1;47;4;2;1;5;3;1;1;7;0;0;0;0;0;0;0;6325;4800;1;8;1;1;2; ;0
805603;530175;202211;1;999;1;1952;70;7;70;2;0;1;1;2;1;5;9;2400;2400;1900;1900;1900;5;4;5600;4300;4;4;4;1;2;0;0
805618;575582;202211;2;999;2;1959;63;6;57;2;0;1;1;2;1;2;1;3340;3340;2420;2420;2420;7;5;6680;4880;5;5;5;0;2; ;0
805628;539492;202211;2;999;5;2019;3;1;34;3;1;1;5;3;2;5;14;0;0;0;0;0;0;0;4338,83717228591;3218;9;9; ;1;9; ;0
805629;563767;202211;2;999;5;2014;8;1;34;7;5;1;5;3;2;4;7;0;0;0;0;0;0;0;4100;3520;1;8;1;1;9; ;0
805643;507209;202211;1;1;1;1933;89;7;89;2;0;1;1;2;1;2;9;7000;7000;5500;5500;5500;11;11;8200;6425;5;5;5;1;10;0;0
805650;555167;202211;1;999;5;2014;8;1;47;4;2;1;5;3;1;1;7;0;0;0;0;0;0;0; ; ;1;8;1;1;9; ;0
805652;558085;202211;1;1;1;1960;62;6;62;2;0;1;1;2;1;5;1;-13;4540,49652614663;2850;2850;2850;13;6;5908,11587193014;3867;4;4;4;1;10;0;0
805657;585900;202211;1;999;1;1962;60;6;60;3;1;1;5;3;1;2;1;5200;5200;3200;3200;3200;11;7;9150;6060;4;4;4;1;2;0;0
805670;541833;202211;2;999;1;1939;83;7;83;1;0;0;4;1;2;2;9;1450;1450;1230;1230;1230;3;3;1450;1230;5;5;5;1;3;0;0
805671;598572;202211;2;999;6;1991;31;3;38;9;0;0;5;5;4;4;3;-13; ;-13;-13; ;13;13; ; ;6;6;6;0;99; ;0
805673;524993;202211;2;999;5;2004;18;2;48;4;2;1;5;3;1;2;7;0;0;0;0;0;0;0;5350;4090;1;1;1;1;2;0;0
805685;542562;202211;2;999;3;1980;42;4;45;4;2;1;5;3;1;3;1;4041;4041;2822;2822;2822;9;6;7841;5422;5;5;5;1;2;0;0
805687;590190;202211;2;2;2;1964;58;6;64;3;1;1;1;3;1;4;1;-13;621,875812212184;500;500;500;13;1;5529,77798757818;3850;2;2;2;1;10;0;0
805696;564663;202211;2;2;2;1990;32;3;38;2;0;1;1;2;1;4;3;0;0;0;0;0;0;0;3020;2425;4;4;4;1;8;0;0
805706;585864;202211;2;999;2;1940;82;7;81;2;0;1;1;2;2;4;9;1000;1000;750;-13;750;2;2;2400;2000;2;2;2;0;3; ;0
805708;522948;202211;1;999;5;1999;23;2;53;4;2;1;5;3;1;4;7;200;200;200;200;200;1;1;8800;5300;5;5;5;0;10; ;0
805709;584817;202211;2;999;2;1959;63;6;57;2;0;1;1;2;1;3;8;0;0;0;0;0;0;0; ; ;5;5;5;1;2;0;0
805719;550583;202211;1;999;1;1955;67;7;67;3;1;1;1;3;1;2;9;-13;2185,64654402031;1750;-13;1750;13;4; ; ;5;5;5;0;10; ;0
805738;584720;202211;2;999;2;1955;67;7;69;2;0;1;1;2;1;2;9;2400;2400;2000;2000;2000;5;4;5600;4800;5;5;5;0;10; ;0
805749;521228;202211;1;999;1;1950;72;7;72;2;0;1;1;2;1;5;9;8500;8500;5500;5500;5500;12;11;10500;7200;3;3;3;1;2;0;0
805751;557047;202211;2;999;1;1985;37;4;37;1;0;0;5;1;1;2;1;6059;6059;3833;3833;3833;11;8;6059;3833;6;6;6;1;9;0;0
805752;513861;202211;1;999;2;1987;35;4;36;3;1;1;1;3;1;4;1;2500;2500;2200;2200;2200;5;5;4700;4100;4;4;4;1;8;0;0
805761;529754;202211;1;999;1;1960;62;6;62;2;0;1;5;2;1;2;4;3185;3185;2150;2150;2150;7;5;4335;3200;5;4;4;1;2;0;0
805764;544448;202211;2;999;5;1994;28;3;51;5;3;1;1;3;2;2;1;-13;1726,80486751182;1250;-13;1250;13;3; ; ;4;4;4;0;2;202;0
805792;537680;202211;2;999;5;2015;7;1;37;4;2;1;5;3;1;2;7;0;0;0;0;0;0;0;4800;3400;1;8;1;1;99; ;0
805804;557299;202211;2;999;2;1979;43;4;48;4;2;1;1;3;1;5;8;1500;1500;1395;1395;1395;3;3;5750;4280;4;4;4;1;8;0;0
805816;546096;202211;2;999;2;1954;68;7;70;2;0;1;1;2;1;3;8;-13;977,375259063646;863;863;863;13;2;3178,5751093242;2624;2;2;2;1;2;0;0
805819;518295;202211;2;999;1;1984;38;4;38;1;0;0;1;1;1;3;1;1900;1900;1630;1630;1630;4;4;1900;1630;4;4;4;1;99;0;0
805841;539916;202211;1;999;5;2004;18;2;60;5;3;1;5;3;1;1;7;0;0;0;0;0;0;0;4447,31303656325;2800;2;8;1;0;6;0;0
805845;504323;202211;2;999;2;1969;53;5;54;5;3;1;1;3;1;1;1;-13;5119,37278980729;3200;3200;3200;13;7;13565,31092322;8270;6;5;5;1;9;0;0
805848;590150;202211;1;999;1;1960;62;6;62;2;0;1;1;2;1;1;1;3200;3200;2600;2600;2600;7;6;3200;2600;2;2;2;1;9;0;0
805858;596168;202211;2;999;1;1963;59;6;59;1;0;0;1;1;2;2;1;1700;1700;1350;1350;1350;4;3;1700;1350;2;2;2;1;9;102;0
805859;512576;202211;1;999;1;1955;67;7;67;2;0;1;1;2;1;4;9;-13;3372,18955811593;2560;2560;2560;13;6;4727,96070425279;3720;5;7;1;0;2;0;0
805895;514483;202211;1;999;1;1949;73;7;73;1;0;0;5;1;2;1;9;2985;2985;2657;2657;2657;6;6;2985;2657;5;5;5;1;8;0;0
805908;512295;202211;2;999;3;1972;49;5;36;3;1;1;5;3;1;4;1;-13;2619,9350858454;1800;1800;1800;13;4;7319,82964093417;4800;2;2;2;1;8;0;0
805930;538240;202211;1;999;5;2017;5;1;38;3;2;0;5;4;1;5;7;0;0;0;0;0;0;0;4300;2600;1;8;1;1;10; ;0
805938;501699;202211;1;999;5;2004;18;2;48;5;3;1;5;3;1;5;7;0;0;0;0;0;0;0;5600;3500;4;2;2;0;7;0;0
805941;579598;202211;2;999;3;1983;39;4;42;6;4;1;5;3;1;2;1;2000;2000;1650;1650;1650;4;4;9500;5800;5;5;5;0;6; ;0
805944;523394;202211;1;999;5;2007;15;2;44;7;5;1;5;3;1;2;7;30;30;30;30;30;1;1;6009;3749;2;8;1;1;8; ;0
805950;529492;202211;1;999;1;1954;67;7;67;2;0;1;1;2;2;2;9;2350;2350;1931;1931;1931;5;4;3657,90950879188;2931;2;2;2;1;8;0;0
805962;514234;202211;1;999;1;1980;41;4;41;4;2;1;1;3;1;5;2;-13; ;-13;-13; ;13;13; ; ;5;5;5;0;10; ;0
